Rank,Country,Note
1,Finland,7.52
2,Norway,7.75
3,Denmark,8.24
4,Netherlands,9.22
5,Sweden,9.47
6,New,Zealand,10.06
7,Austria,10.85
8,Canada,10.99
9,Jamaica,11.18
10,Estonia,11.19
11,Ireland,11.20
12,Germany,11.47
13,Czech,Republic,11.62
14,Slovakia,11.66
15,Belgium,11.98
16,Costa,Rica,12.26
17,Namibia,12.50
18,Poland,12.71
19,Luxembourg,13.61
20,Switzerland,13.85
21,Iceland,13.87
22,Ghana,15.50
23,Uruguay,15.94
24,Cyprus,16.52
25,Australia,17.03
26,Portugal,17.11
27,Liechtenstein,17.67
28,Latvia,18.12
29,Suriname,18.20
30,Belize,18.54
31,Lithuania,18.80
32,Andorra,19.87
33,Spain,19.95
34,United,Kingdom,20
35,Slovenia,20.55
36,Cabo,Verde,20.69
38,France,21.15
39,South,Africa,22.06
40,Samoa,22.32
41,Trinidad,and,Tobago,22.39
42,Botswana,22.91
43,Chile,23
44,Tonga,23.37
45,El,Salvador,23.66
46,Burkina,Faso,23.79
47,Niger,23.85
48,Malta,24.16
49,United,States,24.41
50,Comoros,24.52
51,Taiwan,24.83
52,Romania,24.90
53,Haïti,25.08
54,Mongolia,25.25
55,Mauritania,25.27
56,Papua,New,Guinea,25.87
57,Argentina,26.11
58,Croatia,26.12
59,Malawi,26.41
60,South,Korea,26.55
61,Japan,26.95
62,Guyana,27.21
63,Dominican,Republic,27.31
64,Madagascar,27.43
65,Hungary,27.44
66,Bosnia-Herzegovina,27.51
67,Serbia,27.66
68,Mauritius,27.69
69,Georgia,27.70
70,Hong,Kong,27.76
71,Senegal,27.77
72,Moldova,27.85
73,Italy,27.94
74,Nicaragua,27.94
75,Tanzania,28.09
77,Lesotho,28.36
78,Armenia,28.43
79,Sierra,Leone,28.47
80,Togo,28.50
81,Guinea,Bissau,28.70
82,Albania,28.77
83,Panama,28.98
84,Benin,29.24
85,Mozambique,29.98
86,Côte,d’Ivoire,30.45
88,Kyrgyzstan,30.69
89,Liberia,30.78
90,Kuwait,30.84
91,Greece,31.01
92,Peru,31.21
93,Fiji,31.28
94,Bolivia,31.29
95,Gabon,31.38
96,Seychelles,31.55
97,Uganda,31.65
98,Lebanon,31.81
99,Brazil,31.93
100,Kenya,32.07
101,Israel,32.09
102,Guinea,32.56
103,Timor-Leste,32.63
104,Bhutan,32.65
105,Nepal,32.71
106,Bulgaria,32.91
107,Congo-Brazzaville,33
108,Ecuador,33.65
109,Paraguay,33.74
110,Central,African,Republic,33.84
111,Nigeria,34.09
112,Maldives,34.32
113,Zambia,34.35
114,Montenegro,34.63
115,Qatar,35.35
116,Tajikistan,36.19
117,North,Macedonia,36.26
118,Mali,36.33
119,Algeria,36.63
120,United,Arab,Emirates,36.73
121,Brunei,36.76
122,Afghanistan,37.44
123,Angola,37.84
124,Guatemala,37.92
125,South,Sudan,38.04
126,Tunisia,38.68
127,Oman,38.83
128,Colombia,39.08
129,Ukraine,39.10
130,Morocco,/,Western,Sahara,39.19
131,Zimbabwe,39.19
132,Honduras,39.27
133,Cameroon,39.63
134,Thailand,40.07
135,Chad,40.17
136,India,40.49
137,Venezuela,40.61
138,Indonesia,40.75
139,Cambodia,40.99
140,Palestine,41.01
141,Philippines,41.19
142,Ethiopia,41.83
143,Jordan,42.07
144,Myanmar,42.08
145,Burundi,42.93
146,Bangladesh,42.95
147,Malaysia,43.29
148,Mexico,43.69
149,Turkey,44.16
150,Democratic,Republic,of,Congo,44.31
151,Gambia,44.50
152,Russia,44.97
153,Singapore,45.87
154,Libya,45.99
155,Eswatini,47.28
156,Iraq,47.76
157,Belarus,47.98
158,Egypt,50.17
159,Pakistan,50.46
160,Kazakhstan,53.46
161,Rwanda,56.57
162,Azerbaijan,58.41
163,Bahrain,58.69
164,Saudi,Arabia,59.41
165,Sri,Lanka,60.28
166,Uzbekistan,61.14
167,Equatorial,Guinea,66.23
168,Yemen,66.36
169,Cuba,70.21
170,Djibouti,71.04
171,Laos,71.25
172,Somalia,72.31
173,Iran,72.32
174,Sudan,72.34
175,Vietnam,72.63
176,China,73.55
177,Syria,77.29
178,Turkmenistan,80.83
179,North,Korea,83.25
180,Eritrea,84.86
